	id	sentence	sentiment
0	r00417521	one of the worst movies of the year , it is not just merely bad; it is painfully bad and absolutely and utterly ridiculous .	0
1	r00010348	a classic in every sense of the word . expert moviemaking .	4
2	r00198343	freddy got fingered makes dude , where 's my car ? look like an oscar contender .	0
3	2019b18fa1206d955f1042b49	 The exclamation point seems to be the only bit of glee you 'll find in this dreary mess .	0
4	1a050467b57c13031687492d0	 Conforms itself with creating a game of ` who 's who ' ... where the characters ' moves are often more predictable than their consequences .	1
5	r00474954	a complete waste of time .	0
6	ebd610c33c154fc77d370d096	 Spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .	4
7	bc68b977eb39a2fe60d2386df	 Shanghai Ghetto may not be as dramatic as Roman Polanski 's The Pianist , but its compassionate spirit soars every bit as high .	4
8	c50aa2079196f231d97eaa09a	 ... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that I ca n't believe any viewer , young or old , would have a good time here .	0
9	190420eb5f624ad550e087849	 The film did n't convince me that Calvin Jr. 's Barbershop represents some sort of beacon of hope in the middle of Chicago 's South Side .	1
10	r00230965	high flying bird is a troll , like so many of the modern nba greats .	3
11	r00624150	never goes far enough to truly scare anyone . even easy-to-please teens might wish for their time back .	1
12	r00411865	as much a recollection of a simpler time or of growing up amidst a post- '60s backdrop as mtv 's vacant reality show the 70 's house	1
13	14b09aa54ad478ef00a917e10	 Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other .	0
14	r00289288	unfortunately , the main couple in the film competes in vain against the scenery .	2
15	r00566535	blake lively is terrific in this grim and pessimistic character study disguised as a rousing action-adventure .	2
16	r00192053	first man hardly come close to capturing the overwhelming triumph behind neil armstrong 's lunar explorations , though the journey to get there is technologically masterful .	3
17	r00588488	von donnersmarck , who brilliantly depicted government surveillance in east berlin before the fall of the wall in his earlier german film , astonishingly can 't even find a way to make interpol 's spying interesting here .	2
18	63d540738e396ff6405607338	 The good is very , very good ... The rest runs from mildly unimpressive to despairingly awful .	2
19	r00153341	a singular piece of generic transgression , making the unmaking of the west-something that filmmakers had been doing to various degrees for decades-feel shockingly , aggressively , and poetically new .	4
20	a2b97d6d6bea18a81dc3a0cd4	 Promises is one film that 's truly deserving of its Oscar nomination .	4
21	a8f661c1fb91e4423fc150dfd	 Mr. Scorsese 's bravery and integrity in advancing this vision can hardly be underestimated .	3
22	r00032790	unabashedly builds on stock sports movies of the past (the tagline could have been friday night lights meets field of dreams) and follows formulas to an almost comical degree .	2
23	r00402352	[a] fleet , densely textured drama .	4
24	c5c0dd0ebb6585b3be695782a	 A film in a class with Spike Lee 's masterful Do The Right Thing .	4
25	r00473930	to have our last image of whitney houston come from this terrible , terrible movie is truly depressing .	1
26	r00315036	a fairly decent followup to 2011 's the mechanic . . .	2
27	r00004116	kelly 's most accessible ambiguous odyssey to date , the box dares you to open it up again and again .	2
28	r00084718	[wright 's] latest film , baby driver , is the sort of rarity that grumps such as myself often complain hollywood doesn 't make any more . which is to say: a genuine original .	3
29	feade06bc186e845b39dceb19	 A Rumor of Angels does n't just slip -- it avalanches into forced fuzziness .	0
30	r00362689	a revoltingly bad stinker that is easily in the running for the worst film of the decade .	0
31	9f5774cb3947871f2b92baac6	 A loud , low-budget and tired formula film that arrives cloaked in the euphemism ` urban drama . '	0
32	bbd3d8bc53ed3f7d9d4218d4f	 ... bright , intelligent , and humanly funny film .	4
33	r00324617	awful -- even worse when you think about the caliber of talent involved	0
34	r00314652	subdued yet powerful .	3
35	1d3194a226c162a3c48360a55	 The only pain you 'll feel as the credits roll is your stomach grumbling for some tasty grub .	1
36	r00561246	this virtually tension-free , depressingly bland horror flick is tough to recommend to anyone but the most undemanding horror fans looking for something gentle to stream on a hungover sunday afternoon .	1
37	r00207919	a rigli , rigli bad movie .	0
38	r00514743	the man lacks charisma , comic verve , and a reason for existing .	1
39	r00112661	the daily grind of a brick lane bangladeshi is credibly brought to life in this sensitive and intelligent adaptation of monica ali 's novel .	3
40	r00036796	this is hands down my favorite animated film of 2009 .	4
41	r00411947	jewison 's rich and provocative 1975 original has been de-metaphorized , made narrow and pointless , while remaining just as loud and violent .	0
42	r00337768	tennant 's screechy mr peterson lacks the cuddly likeability of freeman 's mr maddens , but the ex-doctor has fun .	2
43	r00027994	yet another dull , overdone and predictable horror movie .	1
44	6a20c2248efbc1983da185896	 Directors John Musker and Ron Clements , the team behind The Little Mermaid , have produced sparkling retina candy , but they are n't able to muster a lot of emotional resonance in the cold vacuum of space .	2
45	r00282842	the romantic chemistry that flows between the two great leads is worth the price of admission .	3
46	f5640f2ab07dc6c0ecc81458c	 Shallow , noisy and pretentious .	0
47	r00332194	more is not better , in this case .	1
48	r00161245	this movie is just not funny in any way .	0
49	r00437278	it makes sense with the notable films of 2008 (the synecdoches and wrestlers) , it just has the misfortune of sucking .	1
50	r00289393	"would you have enjoyed ""a serious man"" more if it had been set in russia and been even more bleak ?"	3
51	e24d985a25b797f3ac1a20d86	 This cinema verite speculation on the assassination of John F. Kennedy may have been inspired by Blair Witch , but it takes its techniques into such fresh territory that the film never feels derivative .	3
52	r00171140	the miracle of dunkirk is that it 's different from other war movies in the best ways , and it 's exceptional in every technical sense , making it one of the most emotionally powerful films of 2017 .	4
